id,gene_symbol
158383,1700010L04Rik
46574,6330411E07Rik
106388,6330581N18Rik
106517,6430573F11Rik
87409,A2m
106850,A830049F12Rik
11134,Aanat
35601,Aatf
11138,Aatk
92603,Abat
11141,Abca2
17019,Abcc1
69666,Abhd4
11183,Abl1
85918,Abra
29936,Abt1
56084,Abtb1
11210,Ace
11212,Ache
11250,Actb
11265,Acvr1
11267,Acvr1b
92713,Acvr1c
11268,Acvr2a
11269,Acvr2b
11270,Acvrl1
11275,Adam10
11279,Adam17
11280,Adam19
129123,Adcy1
84170,Adcy2
11302,Adcy9
11303,Adcyap1
11304,Adcyap1r1
11325,Adnp
88720,Adnp2
11327,Adora2a
11338,Adra2a
11339,Adra2b
11340,Adra2c
11341,Adrb1
11356,Aebp2
14573,Aes
16536,Aff3
11391,Agrp
11393,Agt
11394,Agtr1a
86466,Ahctf1
32386,Ahi1
11409,Ahr
64352,Akna
69514,Akr1c18
11438,Akt1
43448,Akt1s1
11445,Alcam
11455,Aldh1a1
19141,Aldh1a2
36126,Aldh1a3
11456,Aldh2
84449,Aldh4a1
11469,Alk
84945,Alx1
11481,Alx3
11482,Alx4
11492,Amh
74698,Amhr2
86931,Amigo1
51564,Amotl1
11387,Angpt1
11388,Angpt2
11389,Angpt4
48554,Angptl1
26108,Angptl2
29914,Angptl3
37146,Angptl4
46567,Angptl6
161133,Angptl7
11522,Ank3
11531,Anxa11
12091,Anxa2
11533,Anxa4
106859,Apba1
11571,Apba2
11576,Apc
23558,Apc2
86431,Aph1a
83933,Aph1b
44160,Aph1c
11590,Aplp1
11602,Apod
11603,Apoe
11607,App
11616,Aqp4
11622,Ar
11625,Arc
11626,Areg
11632,Arf6
87385,Arhgap25
32146,Arhgef25
47212,Arid5b
36074,Arl10
11650,Arnt
11651,Arnt2
11652,Arntl
93055,Arntl2
11663,Artn
11664,Arvcf
11665,Arx
16941,Ascl1
16942,Ascl2
36066,Ascl3
183550,Ascl4
86417,Ascl5
11208,Asic1
11207,Asic2
11686,Astn1
35364,Astn2
11695,Atf1
11696,Atf2
11697,Atf3
11698,Atf4
71668,Atf5
86447,Atf6
12698,Atf6b
11707,Atoh1
32884,Atoh7
46934,Atoh8
11768,Atp10a
11714,Atp1a1
62830,Atp1a2
11718,Atp1b2
11766,Atp8a1
20001,Atxn1
11784,Avp
33433,Avpr1a
26109,Avpr1b
11786,Avpr2
11791,Axin1
11792,Axin2
26110,Axl
26624,B3galt2
93607,B3gat2
32943,B3gnt2
11799,Bach1
11800,Bach2
144469,Baiap3
43853,Bambi
33713,Barhl1
68547,Barhl2
11808,Barx1
11809,Barx2
50322,Batf2
46349,Bbx
11818,Bcan
12710,Bcar1
11821,Bcat1
11824,Bche
13802,Bcl11a
37240,Bcl11b
11829,Bcl2
11911,Bcl2l11
11839,Bcl6
53418,Bcl9
47299,Bcor
107311,Bcorl1
11850,Bdnf
17110,Bhlha15
107457,Bhlha9
37621,Bhlhe22
79902,Bhlhe23
20655,Bhlhe40
55198,Bhlhe41
11907,Bicd1
18223,Bloc1s6
11939,Bmp1
11940,Bmp10
11941,Bmp15
11942,Bmp2
74232,Bmp3
11945,Bmp4
11946,Bmp5
11947,Bmp6
11948,Bmp7
11949,Bmp8a
11952,Bmpr1a
11953,Bmpr1b
11954,Bmpr2
71933,Bmyc
78669,Boc
83840,Bptf
11975,Brca1
92623,Brpf3
89289,Bsx
49848,Btbd11
12008,Btc
85373,Btf3
12019,Btrc
12044,C1qa
12045,C1qb
86401,C1ql2
107334,C230009H10Rik
12053,C4b
12071,Cacna1a
12072,Cacna1b
12076,Cacna1g
37256,Cacna1h
12078,Cacna2d1
12079,Cacna2d3
80075,Cacng5
57576,Cacng7
34014,Cadm1
60961,Cadm3
107340,Cadps2
12092,Calb1
12093,Calb2
12095,Calca
78211,Calcb
12096,Calcr
12107,Camk2a
12111,Camk4
64242,Camta1
85081,Camta2
48446,Car10
12134,Car2
12135,Car3
26965,Cartpt
12152,Casp3
12181,Cbfa2t2
12190,Cbln2
35690,Cbln3
86816,Cbln4
12209,Cck
12210,Cckar
12211,Cckbr
12235,Ccng1
88069,Cd109
32917,Cd164
12269,Cd24a
12290,Cd44
16196,Cd47
12294,Cd59a
12312,Cd9
12325,Cdc42
85297,Cdca7l
12335,Cdh1
107808,Cdh10
12337,Cdh11
84832,Cdh12
12339,Cdh13
12342,Cdh17
107800,Cdh18
12343,Cdh2
23589,Cdh20
22052,Cdh23
88525,Cdh24
12345,Cdh3
12346,Cdh4
12347,Cdh5
12348,Cdh6
88823,Cdh7
12349,Cdh8
12350,Cdh9
81990,Cdhr1
47881,Cdhr5
12353,Cdk5
12354,Cdk5r1
37081,Cdon
50437,Cds1
12375,Cdx1
12376,Cdx2
12377,Cdx4
12391,Cebpa
12394,Cebpd
74949,Cebpe
12396,Cebpg
12399,Celsr1
33178,Celsr2
72096,Celsr3
12401,Cenpb
85972,Cerk
43103,Cers4
47790,Cers5
12412,Cfc1
12418,Cflar
12432,Chat
12446,Chl1
12454,Chrm1
89123,Chrm2
12456,Chrm3
12457,Chrm4
84603,Chrm5
11224,Chrna1
75055,Chrna2
74989,Chrna3
11227,Chrna4
74990,Chrna5
11229,Chrna6
11230,Chrna7
87214,Chrna9
11233,Chrnb2
72205,Chrnb3
72177,Chrnb4
33662,Chst2
84269,Churc1
47563,Cic
12488,Cit
12489,Cited1
17451,Cited2
56568,Clca3a2
12512,Clcn5
18184,Cldn11
12525,Cldn5
35923,Clec7a
12537,Clock
41788,Clstn1
40718,Clstn2
12543,Clu
12582,Cnp
12584,Cnr1
12585,Cnr2
12588,Cntn1
21128,Cntn2
18254,Cntn3
33165,Cntn6
81891,Cntnap4
26666,Cntrl
12593,Coch
12597,Col11a1
12598,Col11a2
12599,Col12a1
12600,Col13a1
12601,Col14a1
12602,Col15a1
71746,Col16a1
12605,Col18a1
12625,Col1a1
88369,Col23a1
47196,Col24a1
12607,Col2a1
12608,Col3a1
12609,Col4a1
12610,Col4a2
12613,Col4a5
12614,Col5a1
12615,Col5a2
12616,Col6a1
12620,Col8a1
12622,Col9a1
12624,Col9a3
12629,Comt
33453,Copg2
26501,Cops5
12637,Cort
47883,Cotl1
12645,Cox6a2
69759,Cphx1
87854,Cpne2
66447,Cpne7
12695,Creb1
12696,Creb3
26175,Creb3l1
83997,Creb3l2
84003,Creb3l3
54124,Creb3l4
12697,Crebbp
87640,Crebzf
12701,Crh
12704,Crhr1
12705,Crhr2
12714,Crlf1
48673,Crtac1
12734,Crx
142452,Crxos
12754,Crym
70024,Csdc2
12760,Csf1
12761,Csf1r
60339,Csnk1a1
68483,Csnk1d
27118,Csnk1e
84736,Csnk1g1
67403,Csnk1g2
12778,Csnk2a1
12783,Csnk2a2
12784,Csnk2b
12793,Cst3
12800,Ctbp2
153829,Ctcfl
12802,Ctf1
13996,Ctgf
12172,Ctnnb1
42930,Ctnnbip1
12173,Ctnnd1
86867,Ctso
36114,Ctsr
12821,Ctss
29776,Cttnbp2
12828,Cux1
12829,Cux2
20075,Cx3cl1
20078,Cxcl12
12551,Cxcr4
106413,Cxxc4
42288,Cyc1
12856,Cyp19a1
87382,Cyp26b1
35335,Cyp39a1
12903,Cyp7b1
15780,Cyr61
106849,D630021H01Rik
84026,Daam1
52282,Daam2
12911,Dab1
12914,Dach1
60489,Dach2
37599,Dact1
12946,Dbh
12947,Dbi
12950,Dbp
12952,Dbx1
85987,Dbx2
47674,Dcaf7
12956,Dcc
12959,Dcn
77609,Dcun1d1
87722,Dcun1d3
64907,Dcun1d4
52703,Dcun1d5
12973,Dcx
12975,Ddc
12978,Ddit3
49125,Ddit4l
12090,Ddr1
17981,Ddr2
12987,Ddx5
33299,Deaf1
62168,Deptor
89267,Disc1
13159,Dkk1
36090,Dkk2
30269,Dkk3
87790,Dkk4
13164,Dlg4
13165,Dlk1
13167,Dll1
13168,Dll3
33776,Dll4
13169,Dlx1
13171,Dlx2
13172,Dlx3
13173,Dlx4
13174,Dlx5
13175,Dlx6
79890,Dmbx1
88733,Dmrt3
35576,Dmrtb1
85070,Dnahc2
86552,Dner
13212,Dnmt1
13214,Dnmt3a
13215,Dnmt3b
33718,Dnmt3l
13226,Doc2b
29596,Dpf1
19471,Dpf2
41755,Dpysl5
42399,Drap1
46274,Draxin
13267,Drd1
13268,Drd2
13269,Drd3
13270,Drd4
13271,Drd5
13273,Drg1
13285,Dsc2
13286,Dsc3
77592,Dscaml1
13289,Dsg1a
86223,Dsg1b
84359,Dsg1c
13291,Dsg3
73778,Dsp
13297,Dst
14133,Dtx1
50039,Dtx2
56674,Dtx3
83873,Dtx4
35685,Dusp14
43446,Dusp6
93453,Duxbl1
13321,Dvl1
13322,Dvl2
13323,Dvl3
13334,E2f1
88998,E2f2
13336,E2f3
68559,E2f4
13338,E2f5
29986,E2f6
32159,E2f7
73120,E2f8
13369,Ebf1
13370,Ebf2
13371,Ebf3
86747,Ebf4
71687,Ece2
13377,Ecel1
13396,Ednrb
13404,Eed
85011,Efemp1
13414,Efna1
13415,Efna2
13416,Efna3
13417,Efna4
13418,Efna5
